"question","total_abs_coef","n_levels_kept"
"Q49",0.226047041429226,3
"Q31",0.197944292794209,3
"Q1",0.149550645894532,2
"Q75",0.120914733557987,2
"Q26",0.120798668899505,1
"Q10",0.120228356863239,3
"Q4",0.11770830962365,3
"Q59",0.115095628044583,2
"Q33",0.107205503668975,2
"Q12",0.106025498073371,2
"Q37",0.10494891410291,2
"Q69",0.10316119834146,3
"Q3",0.0960826978245579,3
"Q20",0.0934297596208537,2
"Q53",0.093140979903982,3
"Q58",0.0890117532882047,3
"Q68",0.0869104779503236,4
"Q17",0.0822018890062986,3
"Q22",0.0811472833629288,2
"Q63",0.0769894373041999,1
"Q56",0.0724668930944435,3
"Q46",0.0699628402135858,1
"Q67",0.069136815586742,3
"Q76",0.0613451274880611,3
"Q35",0.0549932598787666,2
"Q72",0.0538380902670121,2
"Q23",0.0477490074603077,1
"Q42",0.0464254403017352,1
"Q24",0.0442848979324407,1
"Q9",0.0405897901966499,2
"Q34",0.0389759864228445,1
"Q44",0.0380064421789761,1
"Q62",0.0360775387114535,1
"Q45",0.0340119613424038,1
"Q70",0.0325361241999557,3
"Q5",0.0298879548835725,1
"Q29",0.029801171441928,1
"Q7",0.0287983755797236,2
"Q48",0.0283931387680147,1
"Q40",0.0277310668966741,1
"Q36",0.027595146729294,1
"Q41",0.027033649645327,2
"Q51",0.0262075519815434,2
"Q11",0.0257413716636408,1
"Q43",0.0245867580989176,1
"Q57",0.0218693620522752,1
"Q71",0.0209023843385558,1
"Q39",0.0202277731055925,1
"Q38",0.0191074968314285,1
"Q28",0.0161438824166267,1
"Q21",0.0158003355589399,2
"Q73",0.0151692841854328,1
"Q60",0.0145985869062221,1
"Q64",0.00985673457365885,2
"Q27",0.0095276902759037,1
"Q8",0.0087371967692416,1
"Q14",0.00630881405613022,1
"Q2",0.00150747854802972,1
"Q65",6.6698258498426e-07,1
"Q13",0,0
"Q15",0,0
"Q16",0,0
"Q18",0,0
"Q19",0,0
"Q25",0,0
"Q30",0,0
"Q32",0,0
"Q47",0,0
"Q50",0,0
"Q52",0,0
"Q54",0,0
"Q55",0,0
"Q6",0,0
"Q61",0,0
"Q66",0,0
"Q74",0,0
