"question","total_abs_coef","n_levels_kept"
"Q8",0.426450796072073,3
"Q39",0.169345571122358,2
"Q57",0.160155427552749,1
"Q43",0.096739523816122,1
"Q56",0.0962987219472523,1
"Q44",0.0957513926055513,1
"Q23",0.082756033548656,1
"Q55",0.081144222689096,2
"Q34",0.0792594331997462,2
"Q63",0.0681923445265209,1
"Q37",0.067836735858722,2
"Q35",0.0628072998388733,1
"Q20",0.0564602508288307,1
"Q22",0.0552210391235364,1
"Q32",0.0500647408613104,2
"Q59",0.0414550613535498,1
"Q27",0.0402697347458596,2
"Q50",0.0365082574226715,1
"Q41",0.0304084376916093,1
"Q6",0.0300523846903129,1
"Q46",0.023761040654214,2
"Q18",0.0206936329049145,1
"Q64",0.0198054732373256,2
"Q5",0.018309290504577,1
"Q51",0.0154109862904149,1
"Q54",0.0119332772807732,1
"Q12",0.00975143385069213,1
"Q31",0.00927246373678682,2
"Q13",0.00896128499519843,2
"Q30",0.00893834471285447,1
"Q42",0.00760054175995921,1
"Q52",0.00286435534662615,1
"Q15",0.000993240828602477,1
"Q1",0,0
"Q10",0,0
"Q11",0,0
"Q14",0,0
"Q16",0,0
"Q17",0,0
"Q19",0,0
"Q2",0,0
"Q21",0,0
"Q24",0,0
"Q25",0,0
"Q26",0,0
"Q28",0,0
"Q29",0,0
"Q3",0,0
"Q33",0,0
"Q36",0,0
"Q38",0,0
"Q4",0,0
"Q40",0,0
"Q45",0,0
"Q47",0,0
"Q48",0,0
"Q49",0,0
"Q53",0,0
"Q58",0,0
"Q60",0,0
"Q61",0,0
"Q62",0,0
"Q65",0,0
"Q7",0,0
"Q9",0,0
