"partei_label","n_train","train_mean","train_sd","train_med","n_imp","imp_mean","imp_med","target","gap_mean","flag_drift","flag_signflip"
"AfD",32,1.03456559406215,0.439968841140331,0.963010871002399,23,0.875071802803458,1.00526854134437,"econ_lr_score",-0.159493791258695,FALSE,FALSE
"CDU/CSU",41,0.711284253368849,0.383082792703207,0.757262582431215,55,0.671186789252363,0.689805198637191,"econ_lr_score",-0.0400974641164858,FALSE,FALSE
"FDP",78,0.555458341109084,0.35331981251084,0.503696502930147,88,0.494106558518036,0.520946688420565,"econ_lr_score",-0.0613517825910479,FALSE,FALSE
"GRUENE",127,-0.301861091464051,0.324559746306811,-0.32605313585514,112,-0.34390150607337,-0.344949669822201,"econ_lr_score",-0.0420404146093194,FALSE,FALSE
"LINKE",116,-0.595387025491468,0.31692774119525,-0.655441703889652,99,-0.539251563084337,-0.588179696740487,"econ_lr_score",0.0561354624071311,FALSE,FALSE
"SPD",99,-0.434164669463379,0.296867134859442,-0.444976855277917,100,-0.413019398050795,-0.437139647553558,"econ_lr_score",0.0211452714125837,FALSE,FALSE
"AfD",32,0.774529672275567,0.435314087318378,0.792803483300625,23,0.618784261788364,0.618789688023463,"anti_elite_score",-0.155745410487203,FALSE,FALSE
"CDU/CSU",41,-0.954977621509047,0.407886001846008,-1.02555030013002,55,-0.899311034432978,-0.976111426373779,"anti_elite_score",0.055666587076069,FALSE,FALSE
"FDP",78,-0.320897346105313,0.512939253944456,-0.357990322862843,88,-0.317990241857447,-0.360625248819923,"anti_elite_score",0.00290710424786556,FALSE,FALSE
"GRUENE",127,-0.0271257286824184,0.450573633367909,-0.0594165007289253,112,-0.0199689000362383,-0.0566458004366776,"anti_elite_score",0.00715682864618007,FALSE,FALSE
"LINKE",116,0.478755960475661,0.375192014385099,0.508085305374882,99,0.404252247647589,0.41574277525243,"anti_elite_score",-0.0745037128280723,FALSE,FALSE
"SPD",99,-0.348075147853741,0.354663281781337,-0.309031876827431,100,-0.275803816868831,-0.282704698776387,"anti_elite_score",0.07227133098491,FALSE,FALSE
