"partei_label","n_train","train_mean","train_sd","train_med","n_imp","imp_mean","imp_med","target","gap_mean","flag_drift","flag_signflip"
"AfD",30,1.26553427619776,0.362962423766463,1.2291969343055,46,1.07450519998673,1.16017058652261,"econ_lr_score",-0.191029076211032,FALSE,FALSE
"CDU/CSU",10,0.96042575224227,0.386152362731965,0.850671337829674,30,0.713448711502992,0.770810853745157,"econ_lr_score",-0.246977040739278,FALSE,FALSE
"FDP",65,0.458000123732639,0.296349392083911,0.453848361096682,84,0.416469560104345,0.408199414384201,"econ_lr_score",-0.0415305636282943,FALSE,FALSE
"GRUENE",81,-0.379102993527431,0.286065396583169,-0.423838378148988,78,-0.371017665188311,-0.389503533016613,"econ_lr_score",0.00808532833912073,FALSE,FALSE
"LINKE",70,-0.744132423544038,0.26108438475012,-0.809486998036373,74,-0.653327531156742,-0.67160824028442,"econ_lr_score",0.0908048923872957,FALSE,FALSE
"SPD",55,-0.345438347847629,0.292198949486521,-0.373275195187772,55,-0.29161183831633,-0.281293606124587,"econ_lr_score",0.0538265095312989,FALSE,FALSE
"AfD",30,0.992475423461813,0.462482598832819,0.978663869797524,46,0.802761859544393,0.832338646170429,"anti_elite_score",-0.189713563917419,FALSE,FALSE
"CDU/CSU",10,-0.922871655529821,0.284454501845223,-0.862274144984113,30,-0.561753157840578,-0.551208014778663,"anti_elite_score",0.361118497689243,TRUE,FALSE
"FDP",65,-0.451260786198223,0.48168787578323,-0.494555271856384,84,-0.369730529646279,-0.437414612611386,"anti_elite_score",0.0815302565519438,FALSE,FALSE
"GRUENE",81,-0.124757434925479,0.469017426641631,-0.116319295855589,78,-0.0754256632323373,0.00122737721986511,"anti_elite_score",0.0493317716931416,FALSE,FALSE
"LINKE",70,0.607466190326642,0.428396812697998,0.655095088361588,74,0.533192337291304,0.637751210344299,"anti_elite_score",-0.0742738530353386,FALSE,FALSE
"SPD",55,-0.326527719280988,0.412894561306731,-0.282543613342522,55,-0.258868270398145,-0.301999645758755,"anti_elite_score",0.0676594488828423,FALSE,FALSE
