"question","total_abs_coef","n_levels_kept"
"Q20",0.340774272280447,3
"Q56",0.196179833831282,1
"Q53",0.144967345044428,1
"Q24",0.136357010281904,2
"Q16",0.128129579904609,1
"Q25",0.127046714318289,3
"Q1",0.111887313626825,1
"Q69",0.108823787649608,1
"Q35",0.105090488655573,1
"Q33",0.0927411448228171,2
"Q41",0.085648946423436,1
"Q42",0.0759360992153741,1
"Q67",0.0691576998499418,1
"Q45",0.0668162563126071,1
"Q63",0.066476298514074,1
"Q59",0.0655306023475241,1
"Q43",0.060332303604754,1
"Q37",0.0598649807547737,2
"Q50",0.0598385684378828,2
"Q19",0.0578391367191669,2
"Q5",0.0561931247084777,1
"Q23",0.0551194514747581,2
"Q55",0.0540761458909403,2
"Q30",0.0523268360632039,1
"Q17",0.050892901503914,1
"Q21",0.0504460524656421,1
"Q58",0.0427235095416285,1
"Q36",0.0413362162650196,2
"Q10",0.0398199685404249,1
"Q13",0.0386488597012752,1
"Q38",0.0340433403807416,2
"Q49",0.0336002045494517,3
"Q52",0.0302403972842696,1
"Q28",0.0275265819607713,1
"Q48",0.0270646933566078,1
"Q11",0.0216250209800214,2
"Q68",0.0210313260329648,1
"Q32",0.0187422078639025,1
"Q39",0.017475198032928,1
"Q51",0.0157955868870332,1
"Q66",0.00814845149888562,1
"Q15",0.00719179163870148,1
"Q40",0.00670676860986131,1
"Q18",0.00308626074336943,1
"Q62",0.00141850668282989,1
"Q4",0.00063119629528804,1
"Q14",0.000158097191690316,1
"Q29",9.33442471193133e-05,1
"Q12",0,0
"Q2",0,0
"Q22",0,0
"Q26",0,0
"Q27",0,0
"Q3",0,0
"Q31",0,0
"Q34",0,0
"Q44",0,0
"Q46",0,0
"Q47",0,0
"Q54",0,0
"Q57",0,0
"Q6",0,0
"Q60",0,0
"Q61",0,0
"Q64",0,0
"Q65",0,0
"Q7",0,0
"Q8",0,0
"Q9",0,0
