"question","total_abs_coef","n_levels_kept"
"Q63",0.283288553960402,2
"Q56",0.226303865576042,2
"Q41",0.197385537031263,1
"Q51",0.166424556846471,1
"Q53",0.15865713823383,1
"Q31",0.157870775341549,1
"Q38",0.142778681235039,1
"Q30",0.132381270343739,1
"Q8",0.115576445287823,2
"Q23",0.114600510792819,1
"Q37",0.109341948176176,1
"Q43",0.102302047084302,2
"Q68",0.0928831932695474,2
"Q35",0.0876293642730381,1
"Q58",0.0859947214270565,1
"Q25",0.074433365072485,2
"Q44",0.0721719373373943,2
"Q59",0.0703295065477448,2
"Q52",0.0617056102972003,1
"Q6",0.0588776512534524,1
"Q13",0.056791873130437,1
"Q24",0.0562906995805064,1
"Q48",0.0552609951730106,1
"Q46",0.0430419889054689,2
"Q7",0.0424648816388249,1
"Q66",0.0403720356574647,2
"Q29",0.0402147826884118,2
"Q55",0.0356577389455443,1
"Q11",0.0335823080845288,1
"Q54",0.0259129324361629,1
"Q45",0.0257486976171289,1
"Q5",0.0191547625864452,1
"Q17",0.0160195583096924,1
"Q22",0.0143057315901163,1
"Q4",0.00984393760663908,1
"Q10",0.00753531705839534,1
"Q2",0.00311743787727332,1
"Q60",0.00121294886050408,1
"Q1",0,0
"Q12",0,0
"Q14",0,0
"Q15",0,0
"Q16",0,0
"Q18",0,0
"Q19",0,0
"Q20",0,0
"Q21",0,0
"Q26",0,0
"Q27",0,0
"Q28",0,0
"Q3",0,0
"Q32",0,0
"Q33",0,0
"Q34",0,0
"Q36",0,0
"Q39",0,0
"Q40",0,0
"Q42",0,0
"Q47",0,0
"Q49",0,0
"Q50",0,0
"Q57",0,0
"Q61",0,0
"Q62",0,0
"Q64",0,0
"Q65",0,0
"Q67",0,0
"Q69",0,0
"Q9",0,0
