name,party,district,list_state,candidate_id,candidate_url,answered,n_answers,district_no
Carsten-Peter Brodersen,FDP,Flensburg – Schleswig,Schleswig-Holstein,24898,https://www.wen-waehlen.de/btw13/kandidaten/24898-carsten-peter-brodersen.html,FALSE,0,1
Heinz-Werner Jezewski,DIE LINKE,Flensburg – Schleswig,NA,24569,https://www.wen-waehlen.de/btw13/kandidaten/24569-heinz-werner-jezewski.html,FALSE,0,1
Nadine Lindenberg,PIRATEN,Flensburg – Schleswig,NA,25921,https://www.wen-waehlen.de/btw13/kandidaten/25921-nadine-lindenberg.html,TRUE,65,1
Marlene Löhr,GRÜNE,Flensburg – Schleswig,Schleswig-Holstein,23842,https://www.wen-waehlen.de/btw13/kandidaten/23842-marlene-loehr.html,TRUE,65,1
Dirk Peddinghaus,SPD,Flensburg – Schleswig,Schleswig-Holstein,26249,https://www.wen-waehlen.de/btw13/kandidaten/26249-dirk-peddinghaus.html,TRUE,65,1
Hans-Ulrich Post,AfD,Flensburg – Schleswig,Schleswig-Holstein,27635,https://www.wen-waehlen.de/btw13/kandidaten/27635-hans-ulrich-post.html,FALSE,0,1
Dipl.-Ing. Wolfgang Schimmel,NPD,Flensburg – Schleswig,NA,25403,https://www.wen-waehlen.de/btw13/kandidaten/25403-wolfgang-schimmel.html,TRUE,65,1
Dr. Sabine Sütterlin-Waack,CDU,Flensburg – Schleswig,Schleswig-Holstein,24197,https://www.wen-waehlen.de/btw13/kandidaten/24197-sabine-suetterlin-waack.html,TRUE,65,1
Matthias Ilgen,SPD,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,26250,https://www.wen-waehlen.de/btw13/kandidaten/26250-matthias-ilgen.html,TRUE,65,2
Ingbert Liebing,CDU,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,24198,https://www.wen-waehlen.de/btw13/kandidaten/24198-ingbert-liebing.html,FALSE,0,2
Norbert Meixner,DIE LINKE,Nordfriesland – Dithmarschen Nord,NA,24570,https://www.wen-waehlen.de/btw13/kandidaten/24570-norbert-meixner.html,FALSE,0,2
Ulrich Schmück,FDP,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,24899,https://www.wen-waehlen.de/btw13/kandidaten/24899-ulrich-schmueck.html,TRUE,65,2
Oliver Sippel,PIRATEN,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,25924,https://www.wen-waehlen.de/btw13/kandidaten/25924-oliver-sippel.html,TRUE,65,2
Jürgen Wilhelm Otto Töpke,NPD,Nordfriesland – Dithmarschen Nord,NA,25404,https://www.wen-waehlen.de/btw13/kandidaten/25404-juergen-wilhelm-otto-toepke.html,FALSE,0,2
Arfst Wagner,GRÜNE,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,23843,https://www.wen-waehlen.de/btw13/kandidaten/23843-arfst-wagner.html,TRUE,65,2
Volker Wiethüchter,AfD,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,28126,https://www.wen-waehlen.de/btw13/kandidaten/28126-volker-wiethuechter.html,FALSE,0,2
Günter-Hans Adler,NPD,Steinburg – Dithmarschen Süd,NA,25405,https://www.wen-waehlen.de/btw13/kandidaten/25405-guenter-hans-adler.html,FALSE,0,3
Patrick Breyer,PIRATEN,Steinburg – Dithmarschen Süd,NA,25925,https://www.wen-waehlen.de/btw13/kandidaten/25925-patrick-breyer.html,TRUE,65,3
Marc André Helfrich,CDU,Steinburg – Dithmarschen Süd,Schleswig-Holstein,24199,https://www.wen-waehlen.de/btw13/kandidaten/24199-marc-andre-helfrich.html,FALSE,0,3
Wolfgang Kubicki,FDP,Steinburg – Dithmarschen Süd,Schleswig-Holstein,24900,https://www.wen-waehlen.de/btw13/kandidaten/24900-wolfgang-kubicki.html,FALSE,0,3
Marcel Scherwien Mansouri,DIE LINKE,Steinburg – Dithmarschen Süd,Schleswig-Holstein,24571,https://www.wen-waehlen.de/btw13/kandidaten/24571-marcel-scherwien-mansouri.html,FALSE,0,3
Dr. Karin Thissen,SPD,Steinburg – Dithmarschen Süd,Schleswig-Holstein,26251,https://www.wen-waehlen.de/btw13/kandidaten/26251-karin-thissen.html,FALSE,0,3
Ulrike Trebesius,AfD,Steinburg – Dithmarschen Süd,Schleswig-Holstein,28023,https://www.wen-waehlen.de/btw13/kandidaten/28023-ulrike-trebesius.html,FALSE,0,3
Erika Ingeborg von Kalben,GRÜNE,Steinburg – Dithmarschen Süd,NA,23844,https://www.wen-waehlen.de/btw13/kandidaten/23844-erika-ingeborg-von-kalben.html,FALSE,0,3
Christine Aschenberg-Dugnus,FDP,Rendsburg-Eckernförde,Schleswig-Holstein,24901,https://www.wen-waehlen.de/btw13/kandidaten/24901-christine-aschenberg-dugnus.html,FALSE,0,4
Anne Burmeister,PIRATEN,Rendsburg-Eckernförde,Schleswig-Holstein,25926,https://www.wen-waehlen.de/btw13/kandidaten/25926-anne-burmeister.html,FALSE,0,4
Stefan Karstens,DIE LINKE,Rendsburg-Eckernförde,Schleswig-Holstein,24572,https://www.wen-waehlen.de/btw13/kandidaten/24572-stefan-karstens.html,TRUE,65,4
