"year","geo_region","w1","w2","status","n_cells","E_data","n_obs","mae","wmae","mae_per_cell","wmae_per_cell","mae_plus_lambda_cells","wmae_plus_lambda_cells","error"
2017,"east",1,0.2,"optimal",501,33,1188,0.0281635365780112,0.0236329209784771,5.62146438682859e-05,4.71714989590361e-05,0.0281635365780112,0.0236329209784771,NA
2017,"east",1,0.3,"optimal",501,33,1188,0.0280921737467334,0.0237330879554989,5.60722030872921e-05,4.7371433044908e-05,0.0280921737467334,0.0237330879554989,NA
2017,"east",1,0.4,"optimal",501,33,1188,0.0292817358856418,0.0246713667924757,5.84465786140554e-05,4.92442450947618e-05,0.0292817358856418,0.0246713667924757,NA
2017,"east",1,0.5,"optimal",501,33,1188,0.0292824374153593,0.0246886921303005,5.84479788729728e-05,4.92788266073863e-05,0.0292824374153593,0.0246886921303005,NA
2017,"east",1,0.6,"optimal",501,33,1188,0.0293343044432267,0.0247684822299028,5.85515058747039e-05,4.94380882832391e-05,0.0293343044432267,0.0247684822299028,NA
2017,"east",1,0.7,"optimal",501,33,1188,0.0293764257596502,0.0248926489993142,5.86355803585832e-05,4.96859261463358e-05,0.0293764257596502,0.0248926489993142,NA
2017,"east",1,0.8,"optimal",501,33,1188,0.0293641036194746,0.0248930914466865,5.86109852684125e-05,4.96868092748234e-05,0.0293641036194746,0.0248930914466865,NA
2017,"east",1,0.9,"optimal",501,33,1188,0.0294769351863202,0.0249425236355809,5.8836197976687e-05,4.97854763185248e-05,0.0294769351863202,0.0249425236355809,NA
2017,"east",1,1,"optimal",501,33,1188,0.0294257412910634,0.0248021754759282,5.87340145530208e-05,4.95053402713138e-05,0.0294257412910634,0.0248021754759282,NA
2017,"east",1,1.11111111111111,"optimal",501,33,1188,0.0294763320273585,0.024776388057491,5.88349940665838e-05,4.94538683782256e-05,0.0294763320273585,0.024776388057491,NA
2017,"east",1,1.25,"optimal",501,33,1188,0.0294314452560628,0.0246448708259883,5.87453997127003e-05,4.91913589341085e-05,0.0294314452560628,0.0246448708259883,NA
2017,"east",1,1.42857142857143,"optimal",501,33,1188,0.0294105269977527,0.0246832260007191,5.87036467021011e-05,4.92679161691e-05,0.0294105269977527,0.0246832260007191,NA
2017,"east",1,1.66666666666667,"optimal",501,33,1188,0.0294109141398003,0.0246855383175878,5.87044194407192e-05,4.92725315720316e-05,0.0294109141398003,0.0246855383175878,NA
2017,"east",1,2,"optimal",501,33,1188,0.0302076050560613,0.0253198880437532,6.02946208703818e-05,5.05386986901262e-05,0.0302076050560613,0.0253198880437532,NA
2017,"east",1,2.5,"optimal",501,33,1188,0.0301890554800804,0.0253063727951496,6.02575957686236e-05,5.05117221460071e-05,0.0301890554800804,0.0253063727951496,NA
2017,"east",1,3.33333333333333,"optimal",501,33,1188,0.0294368195017122,0.0243916064491019,5.87561267499245e-05,4.86858412157723e-05,0.0294368195017122,0.0243916064491019,NA
2017,"east",1,5,"optimal",501,33,1188,0.02912881376228,0.0242165938649653,5.81413448348902e-05,4.83365147005295e-05,0.02912881376228,0.0242165938649653,NA
2013,"east",1,0.2,"optimal",501,34,1234,0.0125452129986276,0.00924634952566358,2.50403453066419e-05,1.84557874763744e-05,0.0125452129986276,0.00924634952566358,NA
2013,"east",1,0.3,"optimal",501,34,1234,0.0120956391550586,0.00887824388320545,2.41429923254663e-05,1.77210456750608e-05,0.0120956391550586,0.00887824388320545,NA
2013,"east",1,0.4,"optimal",501,34,1234,0.0120989867434154,0.0088681040287996,2.41496741385536e-05,1.77008064447098e-05,0.0120989867434154,0.0088681040287996,NA
2013,"east",1,0.5,"optimal",501,34,1234,0.0121702514255594,0.00899205434464596,2.42919190130925e-05,1.79482122647624e-05,0.0121702514255594,0.00899205434464596,NA
2013,"east",1,0.6,"optimal",501,34,1234,0.012227403589306,0.00900677924918178,2.44059951882356e-05,1.797760329178e-05,0.012227403589306,0.00900677924918178,NA
2013,"east",1,0.7,"optimal",501,34,1234,0.0122265675682421,0.00903735130200462,2.44043264835171e-05,1.80386253533026e-05,0.0122265675682421,0.00903735130200462,NA
2013,"east",1,0.8,"optimal",501,34,1234,0.0120611596602198,0.00882583723663344,2.40741709784826e-05,1.76164415900867e-05,0.0120611596602198,0.00882583723663344,NA
2013,"east",1,0.9,"optimal",501,34,1234,0.0120309965657443,0.00871437883081583,2.40139652010864e-05,1.73939697221873e-05,0.0120309965657443,0.00871437883081583,NA
2013,"east",1,1,"optimal",501,34,1234,0.0120286003985716,0.008697628675083,2.40091824322787e-05,1.73605362776108e-05,0.0120286003985716,0.008697628675083,NA
2013,"east",1,1.11111111111111,"optimal",501,34,1234,0.0120287707883242,0.00869805357120351,2.40095225315852e-05,1.73613843736597e-05,0.0120287707883242,0.00869805357120351,NA
2013,"east",1,1.25,"optimal",501,34,1234,0.0119988494006264,0.00869681206891161,2.39497992028471e-05,1.73589063251729e-05,0.0119988494006264,0.00869681206891161,NA
2013,"east",1,1.42857142857143,"optimal",501,34,1234,0.0120287760003226,0.00869805570637388,2.40095329347756e-05,1.73613886354768e-05,0.0120287760003226,0.00869805570637388,NA
2013,"east",1,1.66666666666667,"optimal",501,34,1234,0.0121200917769197,0.00878467286162336,2.41917999539315e-05,1.75342771689089e-05,0.0121200917769197,0.00878467286162336,NA
2013,"east",1,2,"optimal",501,34,1234,0.0120512588112719,0.00872115086774995,2.40544088049339e-05,1.74074867619759e-05,0.0120512588112719,0.00872115086774995,NA
2013,"east",1,2.5,"optimal",501,34,1234,0.0121997347047192,0.00878636456092585,2.4350767873691e-05,1.75376538142233e-05,0.0121997347047192,0.00878636456092585,NA
2013,"east",1,3.33333333333333,"optimal",501,34,1234,0.0121977700849049,0.00876202312996336,2.43468464768562e-05,1.74890681236794e-05,0.0121977700849049,0.00876202312996336,NA
2013,"east",1,5,"optimal",501,34,1234,0.012083370067915,0.00871751611215008,2.41185031295709e-05,1.74002317607786e-05,0.012083370067915,0.00871751611215008,NA
2021,"east",1,0.2,"optimal",501,34,1204,0.0342816833470939,0.0294122002885265,6.84265136668542e-05,5.87069866038452e-05,0.0342816833470939,0.0294122002885265,NA
2021,"east",1,0.3,"optimal",501,34,1204,0.0324273736515904,0.0278653262582392,6.47252967097613e-05,5.56194136891002e-05,0.0324273736515904,0.0278653262582392,NA
