"state_id","state_name","year","east_west","group_key","group_pretty","region","party","abs_lower","abs_upper","baseline_mae","afd_group_tol","sc_tol"
12,"Brandenburg",2021,"east","all","All groups (combined)","Right",6,0.021826171875,0.06640625,0.0336329377950767,0.3,0.3
12,"Brandenburg",2021,"east","all","All groups (combined)","AntiEst",6,0.1789306640625,0.22265625,0.0336329377950767,0.3,0.3
13,"Mecklenburg-Vorpommern",2021,"east","all","All groups (combined)","Right",6,0.21932373046875,0.21484375,0.0371773543891715,0.3,0.3
13,"Mecklenburg-Vorpommern",2021,"east","all","All groups (combined)","AntiEst",6,0,0.171875,0.0371773543891715,0.3,0.3
14,"Sachsen",2021,"east","all","All groups (combined)","Right",6,0.1479736328125,0.19921875,0.0296427057723258,0.3,0.3
14,"Sachsen",2021,"east","all","All groups (combined)","AntiEst",6,0.139794921875,0.26953125,0.0296427057723258,0.3,0.3
15,"Sachsen-Anhalt",2021,"east","all","All groups (combined)","Right",6,0.0838623046875,0.12890625,0.0251908227746924,0.3,0.3
15,"Sachsen-Anhalt",2021,"east","all","All groups (combined)","AntiEst",6,0.16640625,0.171875,0.0251908227746924,0.3,0.3
16,"Thüringen",2021,"east","all","All groups (combined)","Right",6,0.10360107421875,0.23828125,0.0388512055637327,0.3,0.3
16,"Thüringen",2021,"east","all","All groups (combined)","AntiEst",6,0.11416015625,0.2109375,0.0388512055637327,0.3,0.3
1,"Schleswig-Holstein",2021,"west","all","All groups (combined)","Right",6,0.0031494140625,0.05078125,0.0173312291333471,0.3,0.3
1,"Schleswig-Holstein",2021,"west","all","All groups (combined)","AntiEst",6,0.023291015625,0.07421875,0.0173312291333471,0.3,0.3
3,"Niedersachsen",2021,"west","all","All groups (combined)","Right",6,0.0737548828125,0.07421875,0.0175631978544807,0.3,0.3
3,"Niedersachsen",2021,"west","all","All groups (combined)","AntiEst",6,0.00751953125,0.0703125,0.0175631978544807,0.3,0.3
5,"Nordrhein-Westfalen",2021,"west","all","All groups (combined)","Right",6,0.0203125,0.03125,0.00729935142497614,0.3,0.3
5,"Nordrhein-Westfalen",2021,"west","all","All groups (combined)","AntiEst",6,0.0319580078125,0.04296875,0.00729935142497614,0.3,0.3
6,"Hessen",2021,"west","all","All groups (combined)","Right",6,0.0968994140625,0.09765625,0.0176105192657741,0.3,0.3
6,"Hessen",2021,"west","all","All groups (combined)","AntiEst",6,0.01748046875,0.08984375,0.0176105192657741,0.3,0.3
7,"Rheinland-Pfalz",2021,"west","all","All groups (combined)","Right",6,0.06015625,0.0703125,0.0217760313460675,0.3,0.3
7,"Rheinland-Pfalz",2021,"west","all","All groups (combined)","AntiEst",6,0.0302734375,0.046875,0.0217760313460675,0.3,0.3
8,"Baden-Württemberg",2021,"west","all","All groups (combined)","Right",6,0.1020263671875,0.10546875,0.0202976626290832,0.3,0.3
8,"Baden-Württemberg",2021,"west","all","All groups (combined)","AntiEst",6,0.01259765625,0.05078125,0.0202976626290832,0.3,0.3
9,"Bayern",2021,"west","all","All groups (combined)","Right",6,0.0111328125,0.0390625,0.0223387841182678,0.3,0.3
9,"Bayern",2021,"west","all","All groups (combined)","AntiEst",6,0.08466796875,0.109375,0.0223387841182678,0.3,0.3
