"bundesland","rural","second_choice","share_party","N"
1,0,"CDU",0.33,9
1,0,"FDP",0.11,9
1,0,"Green",0.22,9
1,0,"Left",0.11,9
1,0,"SPD",0.22,9
1,1,"CDU",0.71,7
1,1,"Left",0.14,7
1,1,"SPD",0.14,7
2,0,"CDU",0.43,14
2,0,"FDP",0.07,14
2,0,"Green",0.07,14
2,0,"Left",0.14,14
2,0,"SPD",0.29,14
3,0,"CDU",0.28,18
3,0,"FDP",0.11,18
3,0,"Green",0.17,18
3,0,"Left",0.11,18
3,0,"SPD",0.33,18
3,1,"CDU",0.53,15
3,1,"Green",0.2,15
3,1,"SPD",0.27,15
4,0,"Green",1,1
5,0,"CDU",0.43,65
5,0,"FDP",0.11,65
5,0,"Green",0.03,65
5,0,"Left",0.2,65
5,0,"SPD",0.23,65
5,1,"CDU",0.43,14
5,1,"Green",0.07,14
5,1,"Left",0.14,14
5,1,"SPD",0.36,14
6,0,"CDU",0.63,19
6,0,"FDP",0.11,19
6,0,"Green",0.11,19
6,0,"Left",0.11,19
6,0,"SPD",0.05,19
6,1,"CDU",0.42,24
6,1,"FDP",0.12,24
6,1,"Green",0.17,24
6,1,"Left",0.08,24
6,1,"SPD",0.21,24
7,0,"CDU",0.36,11
7,0,"FDP",0.18,11
7,0,"Green",0.09,11
7,0,"Left",0.27,11
7,0,"SPD",0.09,11
7,1,"CDU",0.55,22
7,1,"FDP",0.09,22
7,1,"Green",0.14,22
7,1,"Left",0.09,22
7,1,"SPD",0.14,22
8,0,"CDU",0.44,25
8,0,"FDP",0.04,25
8,0,"Green",0.2,25
8,0,"Left",0.2,25
8,0,"SPD",0.12,25
8,1,"CDU",0.47,36
8,1,"FDP",0.06,36
8,1,"Green",0.22,36
8,1,"Left",0.03,36
8,1,"SPD",0.22,36
9,0,"CDU",0.49,35
9,0,"FDP",0.11,35
9,0,"Green",0.14,35
9,0,"Left",0.14,35
9,0,"SPD",0.11,35
9,1,"CDU",0.47,51
9,1,"FDP",0.1,51
9,1,"Green",0.16,51
9,1,"Left",0.04,51
9,1,"SPD",0.24,51
10,0,"CDU",0.33,3
10,0,"FDP",0.33,3
10,0,"SPD",0.33,3
10,1,"Left",0.75,4
10,1,"SPD",0.25,4
11,0,"CDU",0.58,33
11,0,"FDP",0.06,33
11,0,"Green",0.06,33
11,0,"Left",0.18,33
11,0,"SPD",0.12,33
11,1,"CDU",0.67,3
11,1,"Left",0.33,3
13,0,"CDU",0.44,25
13,0,"FDP",0.04,25
13,0,"Green",0.04,25
13,0,"Left",0.2,25
13,0,"SPD",0.28,25
13,1,"CDU",0.29,24
13,1,"FDP",0.04,24
13,1,"Green",0.12,24
13,1,"Left",0.33,24
13,1,"SPD",0.21,24
14,0,"CDU",0.45,20
14,0,"FDP",0.15,20
14,0,"Left",0.25,20
14,0,"SPD",0.15,20
14,1,"CDU",0.57,21
14,1,"FDP",0.05,21
14,1,"Green",0.14,21
14,1,"Left",0.19,21
14,1,"SPD",0.05,21
15,0,"CDU",0.42,40
15,0,"FDP",0.03,40
15,0,"Green",0.12,40
15,0,"Left",0.17,40
15,0,"SPD",0.25,40
15,1,"CDU",0.57,53
15,1,"Green",0.08,53
15,1,"Left",0.23,53
15,1,"SPD",0.13,53
16,0,"CDU",0.58,19
16,0,"Green",0.05,19
16,0,"Left",0.32,19
16,0,"SPD",0.05,19
16,1,"CDU",0.36,14
16,1,"FDP",0.07,14
16,1,"Green",0.07,14
16,1,"Left",0.29,14
16,1,"SPD",0.21,14
17,0,"CDU",0.38,26
17,0,"FDP",0.08,26
17,0,"Green",0.04,26
17,0,"Left",0.35,26
17,0,"SPD",0.15,26
17,1,"CDU",0.55,29
17,1,"FDP",0.03,29
17,1,"Green",0.07,29
17,1,"Left",0.17,29
17,1,"SPD",0.17,29
