"bundesland","rural","second_choice","share_party","N"
1,0,"CDU",0.58,12
1,0,"FDP",0.17,12
1,0,"Left",0.08,12
1,0,"SPD",0.17,12
1,1,"CDU",0.3,10
1,1,"FDP",0.6,10
1,1,"Left",0.1,10
2,0,"CDU",0.27,11
2,0,"FDP",0.45,11
2,0,"Green",0.09,11
2,0,"Left",0.09,11
2,0,"SPD",0.09,11
3,0,"CDU",0.36,33
3,0,"FDP",0.33,33
3,0,"Green",0.03,33
3,0,"Left",0.24,33
3,0,"SPD",0.03,33
3,1,"CDU",0.48,23
3,1,"FDP",0.35,23
3,1,"Left",0.04,23
3,1,"SPD",0.13,23
4,0,"FDP",0.8,5
4,0,"SPD",0.2,5
5,0,"CDU",0.27,101
5,0,"FDP",0.43,101
5,0,"Green",0.03,101
5,0,"Left",0.15,101
5,0,"SPD",0.13,101
5,1,"CDU",0.24,21
5,1,"FDP",0.57,21
5,1,"Green",0.05,21
5,1,"Left",0.05,21
5,1,"SPD",0.1,21
6,0,"CDU",0.19,26
6,0,"FDP",0.54,26
6,0,"Green",0.04,26
6,0,"Left",0.23,26
6,1,"CDU",0.25,24
6,1,"FDP",0.58,24
6,1,"Green",0.04,24
6,1,"Left",0.08,24
6,1,"SPD",0.04,24
7,0,"CDU",0.23,13
7,0,"FDP",0.54,13
7,0,"Left",0.15,13
7,0,"SPD",0.08,13
7,1,"CDU",0.36,22
7,1,"FDP",0.41,22
7,1,"Green",0.05,22
7,1,"Left",0.14,22
7,1,"SPD",0.05,22
8,0,"CDU",0.3,54
8,0,"FDP",0.41,54
8,0,"Green",0.04,54
8,0,"Left",0.22,54
8,0,"SPD",0.04,54
8,1,"CDU",0.48,42
8,1,"FDP",0.38,42
8,1,"Left",0.12,42
8,1,"SPD",0.02,42
9,0,"CDU",0.38,74
9,0,"FDP",0.42,74
9,0,"Green",0.04,74
9,0,"Left",0.07,74
9,0,"SPD",0.09,74
9,1,"CDU",0.31,51
9,1,"FDP",0.53,51
9,1,"Left",0.04,51
9,1,"SPD",0.12,51
10,0,"FDP",1,4
10,1,"CDU",0.5,4
10,1,"Left",0.5,4
11,0,"CDU",0.39,36
11,0,"FDP",0.28,36
11,0,"Green",0.03,36
11,0,"Left",0.14,36
11,0,"SPD",0.17,36
13,0,"CDU",0.26,62
13,0,"FDP",0.47,62
13,0,"Left",0.18,62
13,0,"SPD",0.1,62
13,1,"CDU",0.36,39
13,1,"FDP",0.46,39
13,1,"Green",0.03,39
13,1,"Left",0.13,39
13,1,"SPD",0.03,39
14,0,"CDU",0.35,17
14,0,"FDP",0.41,17
14,0,"Left",0.18,17
14,0,"SPD",0.06,17
14,1,"CDU",0.26,38
14,1,"FDP",0.45,38
14,1,"Green",0.03,38
14,1,"Left",0.13,38
14,1,"SPD",0.13,38
15,0,"CDU",0.26,148
15,0,"FDP",0.49,148
15,0,"Green",0.02,148
15,0,"Left",0.12,148
15,0,"SPD",0.11,148
15,1,"CDU",0.31,91
15,1,"FDP",0.38,91
15,1,"Green",0.01,91
15,1,"Left",0.15,91
15,1,"SPD",0.14,91
16,0,"CDU",0.34,29
16,0,"FDP",0.38,29
16,0,"Left",0.21,29
16,0,"SPD",0.07,29
16,1,"CDU",0.33,48
16,1,"FDP",0.4,48
16,1,"Left",0.08,48
16,1,"SPD",0.19,48
17,0,"CDU",0.29,45
17,0,"FDP",0.36,45
17,0,"Green",0.04,45
17,0,"Left",0.18,45
17,0,"SPD",0.13,45
17,1,"CDU",0.38,56
17,1,"FDP",0.41,56
17,1,"Green",0.02,56
17,1,"Left",0.09,56
17,1,"SPD",0.11,56
